,type,country,region,units,co2e,source,source link,note,,LEGEND
14,mix,canada,nunavut,g/kWh,800,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 74,https://unfccc.int/documents/461919,,,
15,mix,united states of america,AKGD,lb/MWh,1114.4,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
16,mix,united states of america,AKMS,lb/MWh,549.312,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
17,mix,united states of america,AZNM,lb/MWh,952.321,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
18,mix,united states of america,CAMX,lb/MWh,453.209,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
19,mix,united states of america,ERCT,lb/MWh,868.64,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
20,mix,united states of america,FRCC,lb/MWh,861.028,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
21,mix,united states of america,HIMS,lb/MWh,1185.6,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
22,mix,united states of america,HIOA,lb/MWh,1694.54,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
23,mix,united states of america,MROE,lb/MWh,1502.56,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
24,mix,united states of america,MROW,lb/MWh,1098.35,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
25,mix,united states of america,NEWE,lb/MWh,488.888,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
26,mix,united states of america,NWPP,lb/MWh,715.241,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
27,mix,united states of america,NYCW,lb/MWh,553.801,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
28,mix,united states of america,NYLI,lb/MWh,1208.98,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
29,mix,united states of america,NYUP,lb/MWh,232.305,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
30,mix,united states of america,PRMS,lb/MWh,1537.31,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
31,mix,united states of america,RFCE,lb/MWh,695.034,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
32,mix,united states of america,RFCM,lb/MWh,1189.34,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
33,mix,united states of america,RFCW,lb/MWh,1067.68,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
34,mix,united states of america,RMPA,lb/MWh,1242.61,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
35,mix,united states of america,SPNO,lb/MWh,1069.97,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
36,mix,united states of america,SPSO,lb/MWh,1001.99,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
37,mix,united states of america,SRMV,lb/MWh,806.755,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
38,mix,united states of america,SRMW,lb/MWh,1584.39,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
39,mix,united states of america,SRSO,lb/MWh,969.165,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
40,mix,united states of america,SRTV,lb/MWh,949.695,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
41,mix,united states of america,SRVC,lb/MWh,675.417,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
42,residual mix,united states of america,AKGD,lb/MWh,1126.04,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
43,residual mix,united states of america,AKMS,lb/MWh,549.31,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
44,residual mix,united states of america,AZNM,lb/MWh,954.89,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
45,residual mix,united states of america,CAMX,lb/MWh,461.46,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
46,residual mix,united states of america,ERCT,lb/MWh,927.31,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
47,residual mix,united states of america,FRCC,lb/MWh,867.37,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
48,residual mix,united states of america,HIMS,lb/MWh,1185.6,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
49,residual mix,united states of america,HIOA,lb/MWh,1694.54,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
50,residual mix,united states of america,MROE,lb/MWh,1502.6,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
51,residual mix,united states of america,MROW,lb/MWh,1149.6,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
52,residual mix,united states of america,NEWE,lb/MWh,490.94,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
53,residual mix,united states of america,NWPP,lb/MWh,733.82,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
54,residual mix,united states of america,NYCW,lb/MWh,553.8,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
55,residual mix,united states of america,NYLI,lb/MWh,1208.98,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
56,residual mix,united states of america,NYUP,lb/MWh,232.36,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
57,residual mix,united states of america,PRMS,lb/MWh,1554.21,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
58,residual mix,united states of america,RFCE,lb/MWh,695.24,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
59,residual mix,united states of america,RFCM,lb/MWh,1189.95,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
60,residual mix,united states of america,RFCW,lb/MWh,1068.07,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
61,residual mix,united states of america,RMPA,lb/MWh,1274.88,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
62,residual mix,united states of america,SPNO,lb/MWh,1147.55,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
63,residual mix,united states of america,SPSO,lb/MWh,1185.98,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
64,residual mix,united states of america,SRMV,lb/MWh,808.45,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
65,residual mix,united states of america,SRMW,lb/MWh,1592.27,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
66,residual mix,united states of america,SRSO,lb/MWh,975.84,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
67,residual mix,united states of america,SRTV,lb/MWh,949.91,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
68,residual mix,united states of america,SRVC,lb/MWh,678.35,2021 Green-e® Residual Mix Emission Rates (2019 Data),https://www.green-e.org/2021-residual-mix,,,
69,mix,australia,New South Wales and the Australian Capital Territory ,kg/kWh,0.79,National Greenhouse Accounts Factors: 2021 - pg 19 Table 5,https://www.industry.gov.au/data-and-publications/national-greenhouse-accounts-factors-2021,,,
70,mix,australia,Victoria ,kg/kWh,0.96,National Greenhouse Accounts Factors: 2021 - pg 19 Table 5,https://www.industry.gov.au/data-and-publications/national-greenhouse-accounts-factors-2021,,,
71,mix,australia,Queensland ,kg/kWh,0.8,National Greenhouse Accounts Factors: 2021 - pg 19 Table 5,https://www.industry.gov.au/data-and-publications/national-greenhouse-accounts-factors-2021,,,
72,mix,australia,South Australia ,kg/kWh,0.35,National Greenhouse Accounts Factors: 2021 - pg 19 Table 5,https://www.industry.gov.au/data-and-publications/national-greenhouse-accounts-factors-2021,,,
73,mix,australia,South West Interconnected System (SWIS) in Western Australia ,kg/kWh,0.68,National Greenhouse Accounts Factors: 2021 - pg 19 Table 5,https://www.industry.gov.au/data-and-publications/national-greenhouse-accounts-factors-2021,,,
74,mix,australia,North Western Interconnected System (NWIS) in Western Australia ,kg/kWh,0.58,National Greenhouse Accounts Factors: 2021 - pg 19 Table 5,https://www.industry.gov.au/data-and-publications/national-greenhouse-accounts-factors-2021,,,
75,mix,australia,Darwin Katherine Interconnected System (DKIS) in the Northern Territory ,kg/kWh,0.54,National Greenhouse Accounts Factors: 2021 - pg 19 Table 5,https://www.industry.gov.au/data-and-publications/national-greenhouse-accounts-factors-2021,,,
76,mix,australia,Tasmania ,kg/kWh,0.16,National Greenhouse Accounts Factors: 2021 - pg 19 Table 5,https://www.industry.gov.au/data-and-publications/national-greenhouse-accounts-factors-2021,,,
77,mix,australia,Northern Territory ,kg/kWh,0.57,National Greenhouse Accounts Factors: 2021 - pg 19 Table 5,https://www.industry.gov.au/data-and-publications/national-greenhouse-accounts-factors-2021,,,
78,residual mix,belgium,,g/kWh,188.37,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
79,residual mix,bulgaria,,g/kWh,495.43,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
80,residual mix,croatia,,g/kWh,561.68,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
81,residual mix,cyprus,,g/kWh,770.21,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
82,residual mix,czech republic,,g/kWh,612.3,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
83,residual mix,denmark,,g/kWh,509.03,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
84,residual mix,estonia,,g/kWh,1043.28,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
85,residual mix,finland,,g/kWh,301.64,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
86,residual mix,france,,g/kWh,53.18,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
87,residual mix,germany,,g/kWh,728.69,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
88,residual mix,united kingdom,,g/kWh,380.96,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
89,residual mix,greece,,g/kWh,596.44,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
90,residual mix,hungary,,g/kWh,378.98,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
91,residual mix,iceland,,g/kWh,482.24,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
92,residual mix,ireland,,g/kWh,638.07,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
93,residual mix,italy,,g/kWh,487.23,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
94,residual mix,latvia,,g/kWh,322.76,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
95,residual mix,lithuania,,g/kWh,380.73,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
96,residual mix,luxembourg,,g/kWh,361.18,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
97,residual mix,malta,,g/kWh,668.92,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
98,residual mix,netherlands,,g/kWh,533.37,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
99,residual mix,norway,,g/kWh,257.77,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
100,residual mix,poland,,g/kWh,904.62,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
101,residual mix,portugal,,g/kWh,315.52,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
102,residual mix,romania,,g/kWh,402.59,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
103,residual mix,slovakia,,g/kWh,193.95,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
104,residual mix,slovenia,,g/kWh,502.23,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
105,residual mix,spain,,g/kWh,450.91,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
106,residual mix,sweden,,g/kWh,37.42,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
107,residual mix,switzerland,,g/kWh,33.99,"Association of Issuing Bodies, European Residual Mixes 2018, Table 2 pg 7 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
108,issuance based residual mix,austria,,g/kWh,181.19,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
109,issuance based residual mix,belgium,,g/kWh,214.14,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
110,issuance based residual mix,bulgaria,,g/kWh,495.43,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
111,issuance based residual mix,croatia,,g/kWh,562.13,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
112,issuance based residual mix,cyprus,,g/kWh,771.42,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
113,issuance based residual mix,czech republic,,g/kWh,613.26,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
114,issuance based residual mix,denmark,,g/kWh,528.09,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
115,issuance based residual mix,estonia,,g/kWh,979.91,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
116,issuance based residual mix,finland,,g/kWh,301.38,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
117,issuance based residual mix,france,,g/kWh,53.82,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
118,issuance based residual mix,germany,,g/kWh,726.92,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
119,issuance based residual mix,united kingdom,,g/kWh,385.69,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
120,issuance based residual mix,greece,,g/kWh,549.33,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
121,issuance based residual mix,hungary,,g/kWh,380.08,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
122,issuance based residual mix,iceland,,g/kWh,479.12,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
123,issuance based residual mix,ireland,,g/kWh,565.38,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
124,issuance based residual mix,italy,,g/kWh,487.38,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
125,issuance based residual mix,latvia,,g/kWh,322.76,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
126,issuance based residual mix,lithuania,,g/kWh,509.7,"Association of Issuing Bodies, European Residual Mixes 2018, Table 9 pg 33 (Direct GWP)",https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2018/AIB_2018_Residual_Mix_Results_v1_1.pdf,Values published in 2019 (possibly outdated),,
